crop_name,country_code,adm_id,harvest_year,sos,eos,crop_area,crop_area_percentage,latitude,longitude,region_area,awc,bulk_density,drainage_class,avg_ssm_z,avg_ndvi_z
wheat,IN,IN-01-0051,2003,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,-1.6100425281655837,-1.354160665427002
wheat,IN,IN-01-0051,2004,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,-1.677796294295194,-1.2802491750620961
wheat,IN,IN-01-0051,2005,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,-0.2615234102237342,-0.7087199325628015
wheat,IN,IN-01-0051,2006,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,0.7046222633188902,-0.30057761954217616
wheat,IN,IN-01-0051,2007,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,1.3019017284169225,-0.1568610164323429
wheat,IN,IN-01-0051,2008,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,1.1591522634154041,0.46202365827230224
wheat,IN,IN-01-0051,2009,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,0.41442125459180723,-0.7872404805772987
wheat,IN,IN-01-0051,2010,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,1.3911385867118118,1.5354686289085087
wheat,IN,IN-01-0051,2011,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,0.987382056057037,0.11312790310982265
wheat,IN,IN-01-0051,2012,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,-1.0392355547668937,-0.5690465945346945
wheat,IN,IN-01-0051,2013,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,-0.12345677942214603,1.0036953016974226
wheat,IN,IN-01-0051,2014,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,0.2519782265850869,1.4254246435139637
wheat,IN,IN-01-0051,2015,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,-0.49566512022038506,0.05183958175469398
wheat,IN,IN-01-0051,2016,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,-0.5063776424045671,0.8290668425118354
wheat,IN,IN-01-0051,2017,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,-0.49649904959845387,1.5650395221363225
wheat,IN,IN-01-0052,2003,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,-1.630429092642727,-2.4107398923047403
wheat,IN,IN-01-0052,2004,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,-1.2938355966982653,-0.6277363418487448
wheat,IN,IN-01-0052,2005,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,-0.28325221292611824,0.40369735759226066
wheat,IN,IN-01-0052,2006,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,0.5699097374674805,-0.69205988765633
wheat,IN,IN-01-0052,2007,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,0.887451774807502,0.7156101305960798
wheat,IN,IN-01-0052,2008,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,1.2952570203831093,0.5210596166096163
wheat,IN,IN-01-0052,2009,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,0.606151452454935,-0.20608484118253523
wheat,IN,IN-01-0052,2010,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,1.2291040209736925,2.1110925296428418
wheat,IN,IN-01-0052,2011,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,1.122163402558668,0.2220115527673084
wheat,IN,IN-01-0052,2012,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,-0.8144020272870458,-0.3478724934227348
wheat,IN,IN-01-0052,2013,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,-0.5085118529708736,-0.22684893316253257
wheat,IN,IN-01-0052,2015,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,-0.4440942646992379,0.6666339571215272
wheat,IN,IN-01-0052,2017,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,-0.735512361421138,0.24796666774230078
wheat,IN,IN-01-0053,2003,297.812,95.229,45.5,0.297,14.66066,78.48131,15353.0,13.346,1.522,5.0,-1.8821998131716637,-1.4879633936864056
wheat,IN,IN-01-0053,2005,297.812,95.229,45.5,0.297,14.66066,78.48131,15353.0,13.346,1.522,5.0,-0.6448162326506851,0.06540287632615656
wheat,IN,IN-01-0053,2006,297.812,95.229,45.5,0.297,14.66066,78.48131,15353.0,13.346,1.522,5.0,0.7487625841375606,0.21395703081924397
