crop_name,country_code,adm_id,harvest_year,sos,eos,crop_area,crop_area_percentage,latitude,longitude,region_area,awc,bulk_density,drainage_class,avg_ssm_z,yield_z
wheat,IN,IN-01-0051,2003,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,-1.6100425281655837,-0.966756848264858
wheat,IN,IN-01-0051,2004,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,-1.677796294295194,-1.1027669660175716
wheat,IN,IN-01-0051,2005,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,-0.2615234102237342,-0.4301689864459322
wheat,IN,IN-01-0051,2006,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,0.7046222633188902,-1.031967178694241
wheat,IN,IN-01-0051,2007,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,1.3019017284169225,-0.8903676040475803
wheat,IN,IN-01-0051,2008,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,1.1591522634154041,-0.5140108398551392
wheat,IN,IN-01-0051,2009,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,0.41442125459180723,-0.6854208512695182
wheat,IN,IN-01-0051,2010,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,1.3911385867118118,1.160963076031021
wheat,IN,IN-01-0051,2011,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,0.987382056057037,0.4995440102472759
wheat,IN,IN-01-0051,2012,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,-1.0392355547668937,0.9914162169146244
wheat,IN,IN-01-0051,2013,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,-0.12345677942214603,-0.15255929404655738
wheat,IN,IN-01-0051,2014,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,0.2519782265850869,0.7026276107273554
wheat,IN,IN-01-0051,2015,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,-0.49566512022038506,-0.20286440609208173
wheat,IN,IN-01-0051,2016,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,-0.5063776424045671,2.7763161183817453
wheat,IN,IN-01-0051,2017,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,-0.49649904959845387,-0.2513063658396237
wheat,IN,IN-01-0052,2003,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,-1.630429092642727,-1.0446494235551116
wheat,IN,IN-01-0052,2004,314.176,101.958,118.1,0.608,14.8756,77.34445,19428.0,13.38,1.604,4.0,-1.2938355966982653,-1.1988858072336006
