adm_id,n_years,year_min,year_max
IN-01-0051,17,2001,2017
IN-02-0902,17,2001,2017
IN-02-0903,17,2001,2017
IN-02-0904,17,2001,2017
IN-02-0905,17,2001,2017
IN-02-0906,17,2001,2017
IN-02-0907,17,2001,2017
IN-02-0908,17,2001,2017
IN-02-0909,17,2001,2017
IN-02-0912,17,2001,2017
IN-02-0918,17,2001,2017
IN-02-0919,17,2001,2017
IN-02-0920,17,2001,2017
IN-02-0921,17,2001,2017
IN-02-0922,17,2001,2017
IN-02-0923,17,2001,2017
IN-02-0924,17,2001,2017
IN-02-0925,17,2001,2017
IN-02-0926,17,2001,2017
IN-02-0927,17,2001,2017
IN-02-0928,17,2001,2017
IN-02-0929,17,2001,2017
IN-02-0930,17,2001,2017
IN-02-0931,17,2001,2017
IN-02-0932,17,2001,2017
IN-02-0934,17,2001,2017
IN-02-0935,17,2001,2017
IN-02-0936,17,2001,2017
IN-02-0945,17,2001,2017
IN-02-0946,17,2001,2017
IN-02-0947,17,2001,2017
IN-02-0948,17,2001,2017
IN-02-0949,17,2001,2017
IN-02-0950,17,2001,2017
IN-02-0951,17,2001,2017
IN-02-0956,17,2001,2017
IN-02-0958,17,2001,2017
IN-02-0960,17,2001,2017
IN-03-0121,17,2001,2017
IN-03-0122,17,2001,2017
IN-03-0123,17,2001,2017
IN-03-0124,17,2001,2017
IN-03-0125,17,2001,2017
IN-03-0126,17,2001,2017
IN-03-0129,17,2001,2017
IN-03-0130,17,2001,2017
IN-03-0131,17,2001,2017
IN-03-0132,17,2001,2017
IN-03-0133,17,2001,2017
IN-03-0134,17,2001,2017
IN-03-0135,17,2001,2017
IN-03-0136,17,2001,2017
IN-03-0137,17,2001,2017
IN-03-0138,17,2001,2017
IN-03-0518,17,2001,2017
IN-03-1001,17,2001,2017
IN-03-1002,17,2001,2017
IN-03-1003,17,2001,2017
IN-03-1004,17,2001,2017
IN-03-1005,17,2001,2017
IN-03-1006,17,2001,2017
IN-04-0177,17,2001,2017
IN-04-0178,17,2001,2017
IN-04-0179,17,2001,2017
IN-04-0180,17,2001,2017
IN-04-0181,17,2001,2017
IN-04-0182,17,2001,2017
IN-04-0183,17,2001,2017
IN-04-0184,17,2001,2017
IN-04-0185,17,2001,2017
IN-04-0186,17,2001,2017
IN-04-0187,17,2001,2017
IN-04-0188,17,2001,2017
IN-04-0523,17,2001,2017
IN-04-0524,17,2001,2017
IN-04-0525,17,2001,2017
IN-04-0526,17,2001,2017
IN-04-1007,17,2001,2017
IN-04-1008,17,2001,2017
IN-04-1009,17,2001,2017
IN-05-0072,17,2001,2017
IN-05-0073,17,2001,2017
IN-05-0074,17,2001,2017
IN-05-0075,17,2001,2017
IN-05-0077,17,2001,2017
IN-05-0078,17,2001,2017
IN-05-0079,17,2001,2017
IN-05-1012,17,2001,2017
IN-05-1013,17,2001,2017
IN-05-1014,17,2001,2017
IN-05-1015,17,2001,2017
IN-06-0007,17,2001,2017
IN-06-0008,17,2001,2017
IN-06-0009,17,2001,2017
IN-06-0010,17,2001,2017
IN-06-0011,17,2001,2017
IN-06-0012,17,2001,2017
IN-06-0013,17,2001,2017
IN-06-0014,17,2001,2017
IN-06-0015,17,2001,2017
IN-06-0016,17,2001,2017
IN-06-0017,17,2001,2017
IN-06-0018,17,2001,2017
IN-06-0019,17,2001,2017
IN-06-0020,17,2001,2017
IN-06-0021,17,2001,2017
IN-06-0022,17,2001,2017
IN-06-0023,17,2001,2017
IN-06-0024,17,2001,2017
IN-06-0025,17,2001,2017
IN-06-0026,17,2001,2017
IN-06-0027,17,2001,2017
IN-06-0028,17,2001,2017
IN-06-0029,17,2001,2017
IN-06-0030,17,2001,2017
IN-06-0031,17,2001,2017
IN-06-0032,17,2001,2017
IN-06-0033,17,2001,2017
IN-06-0034,17,2001,2017
IN-06-0035,17,2001,2017
IN-06-0036,17,2001,2017
IN-06-0037,17,2001,2017
IN-06-0038,17,2001,2017
IN-06-0039,17,2001,2017
IN-06-0040,17,2001,2017
IN-06-0041,17,2001,2017
IN-06-0042,17,2001,2017
IN-06-0043,17,2001,2017
IN-06-0502,17,2001,2017
IN-06-1057,17,2001,2017
