column,missing_fraction
max_rsm,0.11083156779661017
n_sm_obs,0.11083156779661017
avg_rsm,0.11083156779661017
min_ssm,0.11083156779661017
avg_ssm,0.11083156779661017
max_ssm,0.11083156779661017
min_rsm,0.11083156779661017
harvest_area,0.0
crop_name,0.0
country_code,0.0
adm_id,0.0
harvest_year,0.0
yield,0.0
production,0.0
region_area,0.0
longitude,0.0
latitude,0.0
crop_area_percentage,0.0
crop_area,0.0
eos,0.0
sos,0.0
awc,0.0
sum_prec,0.0
avg_prec,0.0
avg_tavg,0.0
avg_rad,0.0
avg_tmax,0.0
bulk_density,0.0
drainage_class,0.0
avg_tmin,0.0
n_meteo_obs,0.0
avg_et0,0.0
avg_vpd,0.0
avg_cwb,0.0
avg_ndvi,0.0
min_ndvi,0.0
max_ndvi,0.0
std_ndvi,0.0
n_ndvi_obs,0.0
avg_fpar,0.0
min_fpar,0.0
max_fpar,0.0
std_fpar,0.0
n_fpar_obs,0.0
has_any_ts,0.0
n_available_blocks,0.0
