crop_name,country_code,adm_id,harvest_year,yield,production,harvest_area,sos,eos,crop_area,crop_area_percentage,latitude,longitude,region_area,awc,bulk_density,drainage_class,avg_tmin,avg_tmax,avg_tavg,avg_prec,sum_prec,avg_rad,avg_et0,avg_vpd,avg_cwb,n_meteo_obs,avg_ssm,min_ssm,max_ssm,avg_rsm,min_rsm,max_rsm,n_sm_obs,avg_ndvi,min_ndvi,max_ndvi,std_ndvi,n_ndvi_obs,avg_fpar,min_fpar,max_fpar,std_fpar,n_fpar_obs,n_available_blocks
wheat,IN,IN-01-0047,2017,1.0,10.0,10.0,320.213,92.669,20.2,0.243,17.52128,81.18046,8316.0,14.203,1.506,4.0,23.45027671232877,33.001383561643834,27.813665753424655,3.6621698630136987,1336.692,18381939.34520548,4.500484931506849,26.257895890410957,-0.8383150684931507,365.0,4.605701369863014,2.041,8.04,256.7497835616438,235.919,319.13,365.0,0.5874102564102563,0.374,0.758,0.12842399307489602,39.0,44.09463888888889,24.974,62.886,13.939727027769598,36.0,4
wheat,IN,IN-01-0049,2010,1.5,60.0,40.0,284.497,87.67,72.4,0.635,16.39034,79.72043,11398.0,15.192,1.542,4.0,23.812931506849313,32.93245205479452,27.655723287671233,3.9232191780821917,1431.975,18033401.91232877,4.806238356164384,26.328906849315068,-0.8830191780821919,365.0,4.711454794520548,1.947,8.433,259.1607534246575,233.007,317.711,365.0,0.5466818181818182,0.284,0.761,0.13706453627249493,44.0,47.21783333333334,27.859,71.492,14.510811363551365,36.0,4
wheat,IN,IN-01-0051,2001,0.698,880.0,1260.0,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,22.820246575342463,32.92942739726028,27.616769863013698,1.5456465753424655,564.161,19222478.387671232,5.392035616438356,30.79214520547945,-3.8463890410958905,365.0,,,,,,,,0.36445238095238097,0.19,0.615,0.10849372295677785,42.0,28.43877777777778,12.659,50.322,12.020800071093703,36.0,3
wheat,IN,IN-01-0051,2002,1.0,1000.0,1000.0,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,22.865920547945205,33.24095342465753,27.804756164383562,1.303027397260274,475.605,19738021.364383563,5.441342465753425,31.526391780821918,-4.13831506849315,365.0,,,,,,,,0.3867441860465116,0.247,0.522,0.08854487509658214,43.0,31.348916666666664,18.032,50.017,11.102710637819165,36.0,3
wheat,IN,IN-01-0051,2003,0.304,210.0,690.0,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,23.32477808219178,33.771509589041095,28.309709589041095,1.2173561643835615,444.335,19226729.97260274,5.597868493150685,33.52687945205479,-4.380512328767123,365.0,3.7715928143712576,0.827,7.338,277.46595508982034,270.581,312.943,334.0,0.3660909090909091,0.193,0.595,0.12114393096006362,44.0,28.39777777777778,13.847,53.197,13.007600846342795,36.0,4
wheat,IN,IN-01-0051,2004,0.231,90.0,390.0,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,22.554311475409836,32.92723224043716,27.42708743169399,1.6068333333333333,588.101,19211536.713114753,5.342434426229508,30.978756830601093,-3.7356010928961747,366.0,3.7426557377049177,0.893,7.0,276.58408196721314,270.656,299.066,366.0,0.3676888888888889,0.235,0.559,0.107295433737928,45.0,29.201611111111113,16.815,53.941,12.998619516323984,36.0,4
wheat,IN,IN-01-0051,2005,0.592,420.0,710.0,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,22.83787397260274,32.93911232876712,27.566254794520546,1.9998082191780822,729.93,19171893.37123288,5.207013698630137,30.445112328767124,-3.207205479452055,365.0,4.347534246575342,1.294,7.724,286.6384657534246,271.05,337.07,365.0,0.3800454545454546,0.215,0.626,0.12865601415735825,44.0,30.443777777777782,14.782,51.94,12.93660481206302,36.0,4
wheat,IN,IN-01-0051,2006,0.269,180.0,670.0,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,22.875978082191782,33.243273972602736,27.763487671232877,1.5940767123287671,581.838,19146018.9260274,5.358147945205479,31.771312328767124,-3.764071232876712,365.0,4.760167123287672,2.119,7.27,283.9741342465753,271.995,322.097,365.0,0.38886956521739136,0.249,0.664,0.10633460996007987,46.0,32.11947222222222,18.287,55.55,12.17410796376852,36.0,4
wheat,IN,IN-01-0051,2007,0.345,200.0,580.0,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,22.598052054794522,32.8785397260274,27.438049315068497,2.671597260273973,975.133,19023277.62739726,5.215032876712329,30.73807397260274,-2.5434356164383565,365.0,5.015260273972602,1.74,8.05,292.17025205479456,271.511,344.551,365.0,0.3919767441860465,0.245,0.584,0.11090525522609981,43.0,30.610611111111112,17.722,53.286,11.857753343645253,36.0,4
wheat,IN,IN-01-0051,2008,0.547,410.0,750.0,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,22.536166666666663,32.885008196721316,27.35644535519126,2.0844262295081966,762.9,19327789.86748634,5.2879562841530054,30.521453551912572,-3.2035300546448084,366.0,4.954293150684932,2.293,7.777,288.64927945205477,272.242,325.517,365.0,0.4053571428571428,0.234,0.588,0.10191431633761988,42.0,32.78297222222222,14.177,56.111,13.058253697481062,36.0,4
wheat,IN,IN-01-0051,2009,0.455,250.0,550.0,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,22.98248493150685,33.32636164383562,27.812219178082195,2.4248986301369864,885.088,19258719.026027396,5.381216438356164,31.88630684931507,-2.956317808219178,365.0,4.636224657534247,1.789,8.675,285.2973506849315,271.624,360.42,365.0,0.3783478260869565,0.243,0.682,0.10981625408761561,46.0,31.486083333333333,17.059,55.139,12.621048995060363,36.0,4
wheat,IN,IN-01-0051,2010,1.446,810.0,560.0,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,23.32693424657534,32.9531095890411,27.717282191780825,2.4524273972602737,895.136,18491607.17808219,5.048153424657534,29.88514520547945,-2.5957260273972604,365.0,5.053372602739726,2.064,7.562,293.106397260274,272.083,333.587,365.0,0.4285652173913043,0.235,0.697,0.13259808146323035,46.0,34.397166666666664,16.866,58.098,13.804386761357526,36.0,4
wheat,IN,IN-01-0051,2011,1.091,240.0,220.0,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,22.79684383561644,33.503405479452056,27.647654794520548,1.7399808219178081,635.093,19269631.12328767,5.421126027397261,32.90351506849315,-3.681145205479452,365.0,4.880931506849315,2.471,7.617,285.6663205479452,272.785,324.741,365.0,0.3978139534883721,0.22,0.564,0.1031049524961623,43.0,32.16763888888889,14.018,52.129,12.595889865128402,36.0,4
wheat,IN,IN-01-0051,2012,1.355,420.0,310.0,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,22.88747267759563,33.648341530054644,27.814669398907103,1.555620218579235,569.357,19621695.209016394,5.536303278688525,33.41359836065574,-3.98068306010929,366.0,4.015379781420765,1.763,7.485,278.1399153005465,271.547,309.115,366.0,0.38306521739130434,0.228,0.622,0.12198641129676205,46.0,31.72188888888889,14.843,59.385,14.416939910650301,36.0,4
wheat,IN,IN-01-0051,2013,0.741,200.0,270.0,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,22.879972602739727,32.877002739726024,27.45165205479452,2.3906794520547945,872.598,18609968.656164385,5.213780821917808,30.420852054794523,-2.823101369863014,365.0,4.4065013698630136,0.915,8.085,287.44016438356164,270.697,343.968,365.0,0.4170681818181818,0.232,0.64,0.13181918513141536,44.0,33.18369444444445,13.314,56.145,14.965366607736955,36.0,4
wheat,IN,IN-01-0051,2014,1.2,60.0,50.0,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,23.089197260273973,33.51421369863014,27.881679452054794,1.7003205479452055,620.617,19167575.26849315,5.410857534246575,32.29260547945206,-3.7105369863013697,365.0,4.566846575342465,1.951,7.505,282.2150082191781,271.9,325.753,365.0,0.4261860465116279,0.264,0.625,0.11791345813853593,43.0,35.56605555555555,15.709,57.826,14.244927678589807,36.0,4
wheat,IN,IN-01-0051,2015,0.714,100.0,140.0,313.989,102.88,186.8,1.072,15.56859,77.82124,17419.0,15.396,1.594,4.0,23.217230136986302,33.81374520547945,28.164704109589042,1.6623972602739725,606.775,19235198.893150683,5.409227397260274,32.46324657534247,-3.7468301369863015,365.0,4.247534246575342,1.408,7.165,279.80457534246574,271.235,308.918,365.0,0.39648888888888884,0.214,0.582,0.11090282852000381,45.0,33.50555555555556,15.9,55.219,13.449135002337922,36.0,4
