table,column,dtype,missing_fraction,n_unique
calendar,adm_id,str,0.0,574
calendar,crop_name,str,0.0,1
calendar,eos,float64,0.0,559
calendar,sos,float64,0.0,555
fpar,adm_id,str,0.0,574
fpar,crop_name,str,0.0,1
fpar,date,int64,0.0,828
fpar,fpar,float64,0.0,67774
location,adm_id,str,0.0,574
location,crop_name,str,0.0,1
location,latitude,float64,0.0,574
location,longitude,float64,0.0,574
location,region_area,int64,0.0,554
mask,adm_id,str,0.0,585
mask,crop_area,float64,0.0,451
mask,crop_area_percentage,float64,0.0,487
mask,crop_name,str,0.0,1
meteo,adm_id,str,0.0,574
meteo,crop_name,str,0.0,1
meteo,cwb,float64,0.0,83045
meteo,date,int64,0.0,8400
meteo,et0,float64,0.0,12226
meteo,prec,float64,0.0,72196
meteo,rad,float64,0.0,3883417
meteo,tavg,float64,0.0,39213
meteo,tmax,float64,0.0,40913
meteo,tmin,float64,0.0,38269
meteo,vpd,float64,0.0,79318
ndvi,adm_id,str,0.0,574
ndvi,crop_name,str,0.0,1
ndvi,date,int64,0.0,1055
ndvi,ndvi,float64,0.0,875
soil,adm_id,str,0.0,574
soil,awc,float64,0.0,508
soil,bulk_density,float64,0.0,226
soil,crop_name,str,0.0,1
soil,drainage_class,int64,0.0,5
soil_moisture,adm_id,str,0.0,574
soil_moisture,crop_name,str,0.0,1
soil_moisture,date,int64,0.0,7638
soil_moisture,rsm,float64,0.0,342958
soil_moisture,ssm,float64,0.0,8966
yield,adm_id,str,0.0,520
yield,country_code,str,0.0,1
yield,crop_name,str,0.0,1
yield,harvest_area,float64,0.0,6169
yield,harvest_date,float64,1.0,0
yield,harvest_year,int64,0.0,28
yield,planted_area,float64,1.0,0
yield,planting_date,float64,1.0,0
yield,planting_year,float64,1.0,0
yield,production,float64,0.0,7488
yield,season_name,float64,1.0,0
yield,yield,float64,0.0,3806
