adm_id,n_years,min_year,max_year,n_rows
IN-01-0051,15,2003,2017,15
IN-02-0902,15,2003,2017,15
IN-02-0903,15,2003,2017,15
IN-02-0904,15,2003,2017,15
IN-02-0905,15,2003,2017,15
IN-02-0906,15,2003,2017,15
IN-02-0907,15,2003,2017,15
IN-02-0908,15,2003,2017,15
IN-02-0909,15,2003,2017,15
IN-02-0912,15,2003,2017,15
IN-02-0918,15,2003,2017,15
IN-02-0919,15,2003,2017,15
IN-02-0920,15,2003,2017,15
IN-02-0921,15,2003,2017,15
IN-02-0922,15,2003,2017,15
IN-02-0923,15,2003,2017,15
IN-02-0924,15,2003,2017,15
IN-02-0925,15,2003,2017,15
IN-02-0926,15,2003,2017,15
IN-02-0927,15,2003,2017,15
IN-02-0928,15,2003,2017,15
IN-02-0929,15,2003,2017,15
IN-02-0930,15,2003,2017,15
IN-02-0931,15,2003,2017,15
IN-02-0932,15,2003,2017,15
IN-02-0934,15,2003,2017,15
IN-02-0935,15,2003,2017,15
IN-02-0936,15,2003,2017,15
IN-02-0945,15,2003,2017,15
IN-02-0946,15,2003,2017,15
IN-02-0947,15,2003,2017,15
IN-02-0948,15,2003,2017,15
IN-02-0949,15,2003,2017,15
IN-02-0950,15,2003,2017,15
IN-02-0951,15,2003,2017,15
IN-02-0956,15,2003,2017,15
IN-02-0958,15,2003,2017,15
IN-02-0960,15,2003,2017,15
IN-03-0121,15,2003,2017,15
IN-03-0122,15,2003,2017,15
IN-03-0123,15,2003,2017,15
IN-03-0124,15,2003,2017,15
IN-03-0125,15,2003,2017,15
IN-03-0126,15,2003,2017,15
IN-03-0129,15,2003,2017,15
IN-03-0130,15,2003,2017,15
IN-03-0131,15,2003,2017,15
IN-03-0132,15,2003,2017,15
IN-03-0133,15,2003,2017,15
IN-03-0134,15,2003,2017,15
IN-03-0135,15,2003,2017,15
IN-03-0136,15,2003,2017,15
IN-03-0137,15,2003,2017,15
IN-03-0138,15,2003,2017,15
IN-03-0518,15,2003,2017,15
IN-03-1001,15,2003,2017,15
IN-03-1002,15,2003,2017,15
IN-03-1003,15,2003,2017,15
IN-03-1004,15,2003,2017,15
IN-03-1005,15,2003,2017,15
IN-03-1006,15,2003,2017,15
IN-04-0177,15,2003,2017,15
IN-04-0178,15,2003,2017,15
IN-04-0179,15,2003,2017,15
IN-04-0180,15,2003,2017,15
IN-04-0181,15,2003,2017,15
IN-04-0182,15,2003,2017,15
IN-04-0183,15,2003,2017,15
IN-04-0184,15,2003,2017,15
IN-04-0185,15,2003,2017,15
IN-04-0186,15,2003,2017,15
IN-04-0187,15,2003,2017,15
IN-04-0188,15,2003,2017,15
IN-04-0523,15,2003,2017,15
IN-04-0524,15,2003,2017,15
IN-04-0525,15,2003,2017,15
IN-04-0526,15,2003,2017,15
IN-04-1007,15,2003,2017,15
IN-04-1008,15,2003,2017,15
IN-04-1009,15,2003,2017,15
IN-05-0072,15,2003,2017,15
IN-05-0073,15,2003,2017,15
IN-05-0074,15,2003,2017,15
IN-05-0075,15,2003,2017,15
IN-05-0077,15,2003,2017,15
IN-05-0078,15,2003,2017,15
IN-05-0079,15,2003,2017,15
IN-05-1012,15,2003,2017,15
IN-05-1013,15,2003,2017,15
IN-05-1014,15,2003,2017,15
IN-05-1015,15,2003,2017,15
IN-06-0007,15,2003,2017,15
IN-06-0008,15,2003,2017,15
IN-06-0009,15,2003,2017,15
IN-06-0010,15,2003,2017,15
IN-06-0011,15,2003,2017,15
IN-06-0012,15,2003,2017,15
IN-06-0013,15,2003,2017,15
IN-06-0014,15,2003,2017,15
IN-06-0015,15,2003,2017,15
IN-06-0016,15,2003,2017,15
IN-06-0017,15,2003,2017,15
IN-06-0018,15,2003,2017,15
IN-06-0019,15,2003,2017,15
IN-06-0020,15,2003,2017,15
IN-06-0021,15,2003,2017,15
IN-06-0022,15,2003,2017,15
IN-06-0023,15,2003,2017,15
IN-06-0024,15,2003,2017,15
IN-06-0025,15,2003,2017,15
IN-06-0026,15,2003,2017,15
IN-06-0027,15,2003,2017,15
IN-06-0028,15,2003,2017,15
IN-06-0029,15,2003,2017,15
IN-06-0030,15,2003,2017,15
IN-06-0031,15,2003,2017,15
IN-06-0032,15,2003,2017,15
IN-06-0033,15,2003,2017,15
IN-06-0034,15,2003,2017,15
IN-06-0035,15,2003,2017,15
IN-06-0036,15,2003,2017,15
IN-06-0037,15,2003,2017,15
IN-06-0038,15,2003,2017,15
IN-06-0039,15,2003,2017,15
IN-06-0040,15,2003,2017,15
IN-06-0041,15,2003,2017,15
IN-06-0042,15,2003,2017,15
IN-06-0043,15,2003,2017,15
IN-06-0502,15,2003,2017,15
IN-06-1057,15,2003,2017,15
IN-06-1058,15,2003,2017,15
IN-06-1060,15,2003,2017,15
