adm_id,crop_name,first_year,last_year,n_years,n_rows,is_balanced_15
IN-01-0047,wheat,2017,2017,1,1,False
IN-01-0049,wheat,2010,2010,1,1,False
IN-01-0051,wheat,2003,2017,15,15,True
IN-01-0052,wheat,2003,2017,13,13,False
IN-01-0053,wheat,2003,2017,12,12,False
IN-01-0503,wheat,2017,2017,1,1,False
IN-02-0902,wheat,2003,2017,15,15,True
IN-02-0903,wheat,2003,2017,15,15,True
IN-02-0904,wheat,2003,2017,15,15,True
IN-02-0905,wheat,2003,2017,15,15,True
IN-02-0906,wheat,2003,2017,15,15,True
IN-02-0907,wheat,2003,2017,15,15,True
IN-02-0908,wheat,2003,2017,15,15,True
IN-02-0909,wheat,2003,2017,15,15,True
IN-02-0912,wheat,2003,2017,15,15,True
IN-02-0918,wheat,2003,2017,15,15,True
IN-02-0919,wheat,2003,2017,15,15,True
IN-02-0920,wheat,2003,2017,15,15,True
IN-02-0921,wheat,2003,2017,15,15,True
IN-02-0922,wheat,2003,2017,15,15,True
IN-02-0923,wheat,2003,2017,15,15,True
IN-02-0924,wheat,2003,2017,15,15,True
IN-02-0925,wheat,2003,2017,15,15,True
IN-02-0926,wheat,2003,2017,15,15,True
IN-02-0927,wheat,2003,2017,15,15,True
IN-02-0928,wheat,2003,2017,15,15,True
IN-02-0929,wheat,2003,2017,15,15,True
IN-02-0930,wheat,2003,2017,15,15,True
IN-02-0931,wheat,2003,2017,15,15,True
IN-02-0932,wheat,2003,2017,15,15,True
IN-02-0934,wheat,2003,2017,15,15,True
IN-02-0935,wheat,2003,2017,15,15,True
IN-02-0936,wheat,2003,2017,15,15,True
IN-02-0945,wheat,2003,2017,15,15,True
IN-02-0946,wheat,2003,2017,15,15,True
IN-02-0947,wheat,2003,2017,15,15,True
IN-02-0948,wheat,2003,2017,15,15,True
IN-02-0949,wheat,2003,2017,15,15,True
IN-02-0950,wheat,2003,2017,15,15,True
IN-02-0951,wheat,2003,2017,15,15,True
IN-02-0956,wheat,2003,2017,15,15,True
IN-02-0958,wheat,2003,2017,15,15,True
IN-02-0960,wheat,2003,2017,15,15,True
IN-02-0961,wheat,2003,2017,13,13,False
IN-03-0121,wheat,2003,2017,15,15,True
IN-03-0122,wheat,2003,2017,15,15,True
IN-03-0123,wheat,2003,2017,15,15,True
IN-03-0124,wheat,2003,2017,15,15,True
IN-03-0125,wheat,2003,2017,15,15,True
IN-03-0126,wheat,2003,2017,15,15,True
IN-03-0127,wheat,2003,2017,9,9,False
IN-03-0128,wheat,2004,2017,14,14,False
IN-03-0129,wheat,2003,2017,15,15,True
IN-03-0130,wheat,2003,2017,15,15,True
IN-03-0131,wheat,2003,2017,15,15,True
IN-03-0132,wheat,2003,2017,15,15,True
IN-03-0133,wheat,2003,2017,15,15,True
IN-03-0134,wheat,2003,2017,15,15,True
IN-03-0135,wheat,2003,2017,15,15,True
IN-03-0136,wheat,2003,2017,15,15,True
IN-03-0137,wheat,2003,2017,15,15,True
IN-03-0138,wheat,2003,2017,15,15,True
IN-03-0518,wheat,2003,2017,15,15,True
IN-03-1001,wheat,2003,2017,15,15,True
IN-03-1002,wheat,2003,2017,15,15,True
IN-03-1003,wheat,2003,2017,15,15,True
IN-03-1004,wheat,2003,2017,15,15,True
IN-03-1005,wheat,2003,2017,15,15,True
IN-03-1006,wheat,2003,2017,15,15,True
IN-03-2001,wheat,2008,2017,10,10,False
IN-03-2050,wheat,2014,2017,4,4,False
IN-03-2051,wheat,2014,2017,4,4,False
IN-03-2052,wheat,2014,2017,4,4,False
IN-03-2053,wheat,2014,2017,4,4,False
IN-03-2054,wheat,2014,2017,4,4,False
IN-03-2055,wheat,2014,2017,4,4,False
IN-03-2056,wheat,2014,2017,4,4,False
IN-04-0177,wheat,2003,2017,15,15,True
IN-04-0178,wheat,2003,2017,15,15,True
IN-04-0179,wheat,2003,2017,15,15,True
IN-04-0180,wheat,2003,2017,15,15,True
IN-04-0181,wheat,2003,2017,15,15,True
IN-04-0182,wheat,2003,2017,15,15,True
IN-04-0183,wheat,2003,2017,15,15,True
IN-04-0184,wheat,2003,2017,15,15,True
IN-04-0185,wheat,2003,2017,15,15,True
IN-04-0186,wheat,2003,2017,15,15,True
IN-04-0187,wheat,2003,2017,15,15,True
IN-04-0188,wheat,2003,2017,15,15,True
IN-04-0523,wheat,2003,2017,15,15,True
IN-04-0524,wheat,2003,2017,15,15,True
IN-04-0525,wheat,2003,2017,15,15,True
IN-04-0526,wheat,2003,2017,15,15,True
IN-04-1007,wheat,2003,2017,15,15,True
IN-04-1008,wheat,2003,2017,15,15,True
IN-04-1009,wheat,2003,2017,15,15,True
IN-04-2002,wheat,2005,2017,13,13,False
IN-04-2003,wheat,2008,2017,10,10,False
IN-04-2057,wheat,2016,2017,2,2,False
IN-05-0065,wheat,2008,2008,1,1,False
IN-05-0066,wheat,2008,2017,2,2,False
IN-05-0067,wheat,2008,2008,1,1,False
IN-05-0068,wheat,2008,2008,1,1,False
IN-05-0069,wheat,2008,2008,1,1,False
IN-05-0071,wheat,2004,2009,6,6,False
IN-05-0072,wheat,2003,2017,15,15,True
IN-05-0073,wheat,2003,2017,15,15,True
IN-05-0074,wheat,2003,2017,15,15,True
IN-05-0075,wheat,2003,2017,15,15,True
IN-05-0076,wheat,2003,2017,14,14,False
IN-05-0077,wheat,2003,2017,15,15,True
IN-05-0078,wheat,2003,2017,15,15,True
IN-05-0079,wheat,2003,2017,15,15,True
IN-05-0080,wheat,2008,2008,1,1,False
IN-05-0082,wheat,2008,2008,1,1,False
IN-05-0549,wheat,2010,2011,2,2,False
IN-05-1010,wheat,2003,2017,14,14,False
IN-05-1012,wheat,2003,2017,15,15,True
IN-05-1013,wheat,2003,2017,15,15,True
IN-05-1014,wheat,2003,2017,15,15,True
IN-05-1015,wheat,2003,2017,15,15,True
IN-05-1016,wheat,2008,2008,1,1,False
IN-05-2004,wheat,2008,2008,1,1,False
IN-05-2005,wheat,2008,2008,1,1,False
IN-05-2025,wheat,2010,2017,8,8,False
IN-06-0007,wheat,2003,2017,15,15,True
IN-06-0008,wheat,2003,2017,15,15,True
IN-06-0009,wheat,2003,2017,15,15,True
IN-06-0010,wheat,2003,2017,15,15,True
IN-06-0011,wheat,2003,2017,15,15,True
IN-06-0012,wheat,2003,2017,15,15,True
IN-06-0013,wheat,2003,2017,15,15,True
IN-06-0014,wheat,2003,2017,15,15,True
IN-06-0015,wheat,2003,2017,15,15,True
IN-06-0016,wheat,2003,2017,15,15,True
IN-06-0017,wheat,2003,2017,15,15,True
IN-06-0018,wheat,2003,2017,15,15,True
IN-06-0019,wheat,2003,2017,15,15,True
