pair_name,E,n_rows,rho_last
ssm_ndvi,2,6460,0.3027554106363206
ssm_ndvi,3,6460,0.38128187981693246
ssm_ndvi,4,6460,0.426231428170263
ssm_ndvi,5,6460,0.4522480254827998
ssm_fpar,2,6460,0.15306868340344898
ssm_fpar,3,6460,0.2270242591338647
ssm_fpar,4,6460,0.2766811589702832
ssm_fpar,5,6460,0.30824634482834967
ssm_yield,2,6460,0.31865431630937513
ssm_yield,3,6460,0.39115465961671403
ssm_yield,4,6460,0.44446825326254696
ssm_yield,5,6460,0.46769212508630176
cwb_ssm,2,6460,0.6534698726363896
cwb_ssm,3,6460,0.6979861426537219
cwb_ssm,4,6460,0.7212301194177965
cwb_ssm,5,6460,0.7401387703608744
tavg_cwb,2,6460,0.3772786359767197
tavg_cwb,3,6460,0.5031089529156747
tavg_cwb,4,6460,0.5207953041120663
tavg_cwb,5,6460,0.5293799464936855
