LibSize,x:y,y:x
10,0.11715977629535981,0.013994885575597082
20,0.14514730043207064,0.032382769242159076
30,0.1693558244352861,0.03153316098300754
40,0.19170599522926957,0.043777425632856894
50,0.2108495095228984,0.05231571024791111
60,0.22442698091331512,0.060284554673323526
70,0.22627234238389865,0.0610149968533984
80,0.2581154380402156,0.06719384732384884
90,0.2607663054435241,0.0756153306187026
100,0.27659072410485275,0.0822054565873727
110,0.2696779985335808,0.0951081476479908
120,0.28561378597038756,0.09751254900594018
130,0.2982820327074482,0.09602830097299561
140,0.28876925734360026,0.09325301540312415
150,0.30824634482834967,0.10574389129750132
