pair_name,E,direction,LibSize,mean_rho,median_rho,std_rho,n_units,n_rows
avg_prec_yield,2,avg_cwb_z:avg_tavg_z,14,,,,405,0
avg_prec_yield,2,avg_fpar_z:avg_rsm_z,14,,,,405,0
avg_prec_yield,2,avg_fpar_z:avg_ssm_z,14,,,,405,0
avg_prec_yield,2,avg_ndvi_z:avg_rsm_z,14,,,,405,0
avg_prec_yield,2,avg_ndvi_z:avg_ssm_z,14,,,,405,0
avg_prec_yield,2,avg_prec_z:yield_z,14,-0.025280326437096844,-0.036263395762226446,0.31379466278891627,405,405
avg_prec_yield,2,avg_rsm_z:avg_fpar_z,14,,,,405,0
avg_prec_yield,2,avg_rsm_z:avg_ndvi_z,14,,,,405,0
avg_prec_yield,2,avg_rsm_z:yield_z,14,,,,405,0
avg_prec_yield,2,avg_ssm_z:avg_fpar_z,14,,,,405,0
avg_prec_yield,2,avg_ssm_z:avg_ndvi_z,14,,,,405,0
avg_prec_yield,2,avg_ssm_z:yield_z,14,,,,405,0
avg_prec_yield,2,avg_tavg_z:avg_cwb_z,14,,,,405,0
avg_prec_yield,2,yield_z:avg_prec_z,14,-0.08881874071963612,-0.11727757381108188,0.30845195028766176,405,405
avg_prec_yield,2,yield_z:avg_rsm_z,14,,,,405,0
avg_prec_yield,2,yield_z:avg_ssm_z,14,,,,405,0
avg_rsm_avg_fpar,2,avg_cwb_z:avg_tavg_z,10,,,,428,0
avg_rsm_avg_fpar,2,avg_fpar_z:avg_rsm_z,10,0.060122790355297634,0.02696921936646353,0.38979775049006826,428,428
avg_rsm_avg_fpar,2,avg_fpar_z:avg_ssm_z,10,,,,428,0
avg_rsm_avg_fpar,2,avg_ndvi_z:avg_rsm_z,10,,,,428,0
avg_rsm_avg_fpar,2,avg_ndvi_z:avg_ssm_z,10,,,,428,0
avg_rsm_avg_fpar,2,avg_prec_z:yield_z,10,,,,428,0
avg_rsm_avg_fpar,2,avg_rsm_z:avg_fpar_z,10,-0.001581188414225301,-0.024292362331296037,0.3687658241729146,428,428
avg_rsm_avg_fpar,2,avg_rsm_z:avg_ndvi_z,10,,,,428,0
avg_rsm_avg_fpar,2,avg_rsm_z:yield_z,10,,,,428,0
avg_rsm_avg_fpar,2,avg_ssm_z:avg_fpar_z,10,,,,428,0
avg_rsm_avg_fpar,2,avg_ssm_z:avg_ndvi_z,10,,,,428,0
avg_rsm_avg_fpar,2,avg_ssm_z:yield_z,10,,,,428,0
avg_rsm_avg_fpar,2,avg_tavg_z:avg_cwb_z,10,,,,428,0
avg_rsm_avg_fpar,2,yield_z:avg_prec_z,10,,,,428,0
avg_rsm_avg_fpar,2,yield_z:avg_rsm_z,10,,,,428,0
avg_rsm_avg_fpar,2,yield_z:avg_ssm_z,10,,,,428,0
avg_rsm_avg_ndvi,2,avg_cwb_z:avg_tavg_z,10,,,,428,0
avg_rsm_avg_ndvi,2,avg_fpar_z:avg_rsm_z,10,,,,428,0
avg_rsm_avg_ndvi,2,avg_fpar_z:avg_ssm_z,10,,,,428,0
avg_rsm_avg_ndvi,2,avg_ndvi_z:avg_rsm_z,10,0.0025496183940966065,-0.015472181289744182,0.3713393202444662,428,428
avg_rsm_avg_ndvi,2,avg_ndvi_z:avg_ssm_z,10,,,,428,0
avg_rsm_avg_ndvi,2,avg_prec_z:yield_z,10,,,,428,0
avg_rsm_avg_ndvi,2,avg_rsm_z:avg_fpar_z,10,,,,428,0
avg_rsm_avg_ndvi,2,avg_rsm_z:avg_ndvi_z,10,-0.050786033967652494,-0.08265258736483197,0.35105396365059444,428,428
avg_rsm_avg_ndvi,2,avg_rsm_z:yield_z,10,,,,428,0
avg_rsm_avg_ndvi,2,avg_ssm_z:avg_fpar_z,10,,,,428,0
avg_rsm_avg_ndvi,2,avg_ssm_z:avg_ndvi_z,10,,,,428,0
avg_rsm_avg_ndvi,2,avg_ssm_z:yield_z,10,,,,428,0
avg_rsm_avg_ndvi,2,avg_tavg_z:avg_cwb_z,10,,,,428,0
avg_rsm_avg_ndvi,2,yield_z:avg_prec_z,10,,,,428,0
avg_rsm_avg_ndvi,2,yield_z:avg_rsm_z,10,,,,428,0
avg_rsm_avg_ndvi,2,yield_z:avg_ssm_z,10,,,,428,0
avg_rsm_yield,2,avg_cwb_z:avg_tavg_z,10,,,,428,0
avg_rsm_yield,2,avg_fpar_z:avg_rsm_z,10,,,,428,0
avg_rsm_yield,2,avg_fpar_z:avg_ssm_z,10,,,,428,0
avg_rsm_yield,2,avg_ndvi_z:avg_rsm_z,10,,,,428,0
avg_rsm_yield,2,avg_ndvi_z:avg_ssm_z,10,,,,428,0
avg_rsm_yield,2,avg_prec_z:yield_z,10,,,,428,0
avg_rsm_yield,2,avg_rsm_z:avg_fpar_z,10,,,,428,0
avg_rsm_yield,2,avg_rsm_z:avg_ndvi_z,10,,,,428,0
avg_rsm_yield,2,avg_rsm_z:yield_z,10,0.0143178806461643,0.014418302181751271,0.3342980561088263,428,428
avg_rsm_yield,2,avg_ssm_z:avg_fpar_z,10,,,,428,0
avg_rsm_yield,2,avg_ssm_z:avg_ndvi_z,10,,,,428,0
avg_rsm_yield,2,avg_ssm_z:yield_z,10,,,,428,0
avg_rsm_yield,2,avg_tavg_z:avg_cwb_z,10,,,,428,0
avg_rsm_yield,2,yield_z:avg_prec_z,10,,,,428,0
avg_rsm_yield,2,yield_z:avg_rsm_z,10,-0.04282478534265845,-0.07063157816624438,0.33450835237006876,428,428
avg_rsm_yield,2,yield_z:avg_ssm_z,10,,,,428,0
