LibSize,avg_ssm_z:avg_ndvi_z,avg_ndvi_z:avg_ssm_z,pair_name,adm_id,E,x_col,y_col,avg_ssm_z:avg_fpar_z,avg_fpar_z:avg_ssm_z,avg_ssm_z:yield_z,yield_z:avg_ssm_z,avg_rsm_z:avg_ndvi_z,avg_ndvi_z:avg_rsm_z,avg_rsm_z:avg_fpar_z,avg_fpar_z:avg_rsm_z,avg_rsm_z:yield_z,yield_z:avg_rsm_z,avg_tavg_z:avg_cwb_z,avg_cwb_z:avg_tavg_z,avg_prec_z:yield_z,yield_z:avg_prec_z
6,-0.035881498441036615,-0.30626233941980485,avg_ssm_avg_ndvi,IN-01-0051,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
10,-0.08339822741903694,-0.36311856985682495,avg_ssm_avg_ndvi,IN-01-0051,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
6,0.012309664675731045,-0.3121268197116921,avg_ssm_avg_ndvi,IN-01-0052,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
10,0.031372154244043174,-0.32789910944969314,avg_ssm_avg_ndvi,IN-01-0052,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
6,-0.06060803918512346,-0.23822323639514842,avg_ssm_avg_ndvi,IN-01-0053,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
10,0.04472942289302294,-0.0912199514528808,avg_ssm_avg_ndvi,IN-01-0053,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
6,0.20043201022643903,0.5647707278942882,avg_ssm_avg_ndvi,IN-02-0902,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
10,0.46669784616965504,0.5208272290418153,avg_ssm_avg_ndvi,IN-02-0902,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
6,0.5292414988362673,0.5715138979768322,avg_ssm_avg_ndvi,IN-02-0903,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
10,0.5778984302499397,0.7419143961676766,avg_ssm_avg_ndvi,IN-02-0903,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
6,0.2885815807644708,0.41977861836773434,avg_ssm_avg_ndvi,IN-02-0904,2,avg_ssm_z,avg_ndvi_z,,,,,,,,,,,,,,
