pair_name,E,direction,LibSize,mean_rho,median_rho,std_rho,n_units,n_rows
avg_prec_yield,2,avg_cwb_z:avg_tavg_z,6,,,,441,0
avg_prec_yield,2,avg_cwb_z:avg_tavg_z,10,,,,431,0
avg_prec_yield,2,avg_cwb_z:avg_tavg_z,14,,,,405,0
avg_prec_yield,2,avg_fpar_z:avg_rsm_z,6,,,,441,0
avg_prec_yield,2,avg_fpar_z:avg_rsm_z,10,,,,431,0
avg_prec_yield,2,avg_fpar_z:avg_rsm_z,14,,,,405,0
avg_prec_yield,2,avg_fpar_z:avg_ssm_z,6,,,,441,0
avg_prec_yield,2,avg_fpar_z:avg_ssm_z,10,,,,431,0
avg_prec_yield,2,avg_fpar_z:avg_ssm_z,14,,,,405,0
avg_prec_yield,2,avg_ndvi_z:avg_rsm_z,6,,,,441,0
avg_prec_yield,2,avg_ndvi_z:avg_rsm_z,10,,,,431,0
avg_prec_yield,2,avg_ndvi_z:avg_rsm_z,14,,,,405,0
avg_prec_yield,2,avg_ndvi_z:avg_ssm_z,6,,,,441,0
avg_prec_yield,2,avg_ndvi_z:avg_ssm_z,10,,,,431,0
avg_prec_yield,2,avg_ndvi_z:avg_ssm_z,14,,,,405,0
avg_prec_yield,2,avg_prec_z:yield_z,6,-0.07403354688751768,-0.09116776745032962,0.22520899623415686,441,441
avg_prec_yield,2,avg_prec_z:yield_z,10,-0.07200918519232496,-0.10899614091145078,0.2691673697315557,431,431
avg_prec_yield,2,avg_prec_z:yield_z,14,-0.025280326437096844,-0.036263395762226446,0.31379466278891627,405,405
avg_prec_yield,2,avg_rsm_z:avg_fpar_z,6,,,,441,0
avg_prec_yield,2,avg_rsm_z:avg_fpar_z,10,,,,431,0
avg_prec_yield,2,avg_rsm_z:avg_fpar_z,14,,,,405,0
avg_prec_yield,2,avg_rsm_z:avg_ndvi_z,6,,,,441,0
avg_prec_yield,2,avg_rsm_z:avg_ndvi_z,10,,,,431,0
avg_prec_yield,2,avg_rsm_z:avg_ndvi_z,14,,,,405,0
avg_prec_yield,2,avg_rsm_z:yield_z,6,,,,441,0
avg_prec_yield,2,avg_rsm_z:yield_z,10,,,,431,0
avg_prec_yield,2,avg_rsm_z:yield_z,14,,,,405,0
avg_prec_yield,2,avg_ssm_z:avg_fpar_z,6,,,,441,0
avg_prec_yield,2,avg_ssm_z:avg_fpar_z,10,,,,431,0
avg_prec_yield,2,avg_ssm_z:avg_fpar_z,14,,,,405,0
