pair_name,E,n_rows,rho_last
ssm_ndvi,2,6460,0.3050858195871761
ssm_ndvi,3,6460,0.3838578741048094
ssm_ndvi,4,6460,0.4270149588222665
ssm_ndvi,5,6460,0.4523934801281209
ssm_fpar,2,6460,0.14667953574884585
ssm_fpar,3,6460,0.22214365815513493
ssm_fpar,4,6460,0.2723483658644311
ssm_fpar,5,6460,0.302101222224108
ssm_yield,2,6460,0.3143343114738714
ssm_yield,3,6460,0.38413389498852557
ssm_yield,4,6460,0.4416346804151571
ssm_yield,5,6460,0.46503814014307776
cwb_ssm,2,6460,0.6506668762589976
cwb_ssm,3,6460,0.6968018888797439
cwb_ssm,4,6460,0.7199532416661433
cwb_ssm,5,6460,0.7402446312170387
tavg_cwb,2,6460,0.37678666915577724
tavg_cwb,3,6460,0.5038704350524863
tavg_cwb,4,6460,0.5242967338071458
tavg_cwb,5,6460,0.5337458601679635
