LibSize,x:y,y:x
10,0.12258981720109503,0.014274140355738051
20,0.14958614374184373,0.03274394988687574
30,0.17259164407931432,0.03427857192691506
40,0.18749682834622702,0.04806477084221807
50,0.20880711735674481,0.0506081118730516
60,0.2213708576575908,0.059336558770955214
70,0.22480045446383243,0.06355334840364127
80,0.24820339196845953,0.06782288781588544
90,0.26403838158372817,0.07769195983742735
100,0.2718241355875017,0.07901924149022117
110,0.27302627219439257,0.08887330101047042
120,0.2885676083983044,0.09572457343768866
130,0.2977851396253067,0.09745698703198725
140,0.29346408239133576,0.09573675709632701
150,0.302101222224108,0.10900657056737457
