,harvest_year,yield,production,harvest_area,sos,eos,awc,bulk_density,drainage_class,latitude,longitude,region_area,crop_area,crop_area_percentage,avg_tmin,avg_tmax,avg_tavg,avg_rad,avg_et0,avg_vpd,avg_cwb,avg_ssm,avg_rsm,avg_ndvi,avg_fpar
harvest_year,1.0,0.20537980449479842,0.08493936308967634,0.023990867827535175,0.001330346806001443,-0.0034508277668421653,-0.007343428118631163,0.021581510592734336,-0.011270566085787862,0.00024867036035718196,-0.01692706853602091,-0.014016893292145883,-0.006705341959460918,0.005077342357705173,0.014180246266250186,-0.01139752419909293,-0.011862357387683218,-0.061483619555120175,-0.0510904765703694,-0.055521559838339764,0.025884350844037337,-0.09748322101738101,-0.0974818540568093,0.17959322940047143,0.19670994993178795
yield,0.20537980449479842,1.0,0.7487787601405517,0.6136387081834782,0.31278902484427157,-0.1069906023162949,0.049783440845779015,0.03359908328118473,0.3456909630531982,0.5309970277169985,-0.370076650729436,-0.19828451932742747,0.4505071782510852,0.6982328673534967,-0.5541283192790178,-0.39750955645763875,-0.5047914028601459,-0.3124991083095454,-0.2624861512910975,-0.21266990102649666,-0.09807713105622241,-0.4072773661735304,-0.46080995934148733,0.3405165705240818,0.5280177084131714
production,0.08493936308967634,0.7487787601405517,1.0,0.9313162086459598,0.2222823959812591,-0.07550006154208354,0.07139313192029044,0.07683997187771241,0.35354672329712244,0.4999413616759923,-0.31236652263238,-0.10939372935425928,0.6450405759993987,0.7749817352403822,-0.5454901298222166,-0.42665688231901766,-0.5092109652460644,-0.36130381060156097,-0.33201165930692533,-0.26350289447903796,-0.0107384993188842,-0.29834158493386576,-0.35574670822057536,0.41009145346033415,0.5688842215872267
harvest_area,0.023990867827535175,0.6136387081834782,0.9313162086459598,1.0,0.24657759852915936,-0.10231690832390376,0.16195390256020645,0.1668992419757318,0.33145946677180027,0.4654254471671646,-0.30807138414421,-0.0510102387935188,0.7042061390184147,0.7324883706505565,-0.537185130957884,-0.4023840526968432,-0.48563521230203516,-0.31075420271045995,-0.27936023466492854,-0.22082584312577297,-0.06612014441114006,-0.30075842588316676,-0.345698988644567,0.3411676372356898,0.4987484266995109
sos,0.001330346806001443,0.31278902484427157,0.2222823959812591,0.24657759852915936,1.0,-0.6330106466341319,0.004864756536660836,0.36160416532793893,0.047145442121501194,-0.20215079104536884,-0.414594533570286,0.08623730373594085,0.22252047017668167,0.24770187826607054,-0.12791801381013843,0.24777454448925468,0.06391825346807693,0.3661700057181103,0.4041948716630815,0.4822995793895462,-0.8436313467635002,-0.6866890482256117,-0.5841121022974983,-0.3241076642262608,-0.060884555447855704
eos,-0.0034508277668421653,-0.1069906023162949,-0.07550006154208354,-0.10231690832390376,-0.6330106466341319,1.0,-0.06733093226531259,-0.3287485437393689,0.14871641977675742,0.48614054962834946,0.08998066110708826,-0.03864032852460925,-0.07871729147299542,-0.12754933908000193,-0.24235474174074312,-0.40971301386305353,-0.3285331147290666,-0.14531092370493273,-0.3056381388784375,-0.3624124826938408,0.5696703238925106,0.36936324983263347,0.2328269142634627,0.2959630048202756,0.15922149533305752
awc,-0.007343428118631163,0.049783440845779015,0.07139313192029044,0.16195390256020645,0.004864756536660836,-0.06733093226531259,1.0,-0.1341742464640907,-0.15720753680869023,0.019522476962360577,0.004585407500124064,-0.10072996805185735,0.013057361160732564,0.014465372766699881,-0.0044246689431690946,-0.04101175974946382,-0.017226497774534895,0.0010784035169348863,-0.0023302987680858494,-0.06598083368123962,-0.04102144342900824,0.050713167693769066,0.1578963999077267,0.13831168839241506,0.0648087993236065
bulk_density,0.021581510592734336,0.03359908328118473,0.07683997187771241,0.1668992419757318,0.36160416532793893,-0.3287485437393689,-0.1341742464640907,1.0,-0.09373195605085019,-0.20919409480647863,-0.38378068291665285,0.0881182343783746,0.20979315486275923,0.14975722390539403,0.07699070564899842,0.29251047151689813,0.20406758469500946,0.2507034216012435,0.3489157586905329,0.41196757054416694,-0.3973424872523213,-0.30802745652540947,-0.08475026298579286,-0.22885556777523886,-0.02105445320357919
drainage_class,-0.011270566085787862,0.3456909630531982,0.35354672329712244,0.33145946677180027,0.047145442121501194,0.14871641977675742,-0.15720753680869023,-0.09373195605085019,1.0,0.4960329667055253,-0.2037034055264833,0.045141471416047206,0.26207480452990034,0.3730234127454089,-0.47772932969439164,-0.4131086413212388,-0.45742273422377666,-0.2991785694131781,-0.2545290320471452,-0.24982030607291647,0.05260349326611896,-0.26526419667079554,-0.41216102500563445,0.14020108777512966,0.29373309520465496
latitude,0.00024867036035718196,0.5309970277169985,0.4999413616759923,0.4654254471671646,-0.20215079104536884,0.48614054962834946,0.019522476962360577,-0.20919409480647863,0.4960329667055253,1.0,0.030951211864118155,-0.3000842393847427,0.278480019166948,0.4826571987185114,-0.761171093427711,-0.8153341129088073,-0.8192414497079218,-0.6832786411143884,-0.7045706267598759,-0.6712919465913744,0.44780504188946774,-0.025765739596883868,-0.3241834776639565,0.509535141982494,0.5176891557611383
