,yield,avg_ssm,avg_tavg,avg_tmin,avg_tmax,avg_rad,avg_cwb,avg_ndvi,avg_fpar,awc,bulk_density,drainage_class,latitude,harvest_year,crop_area_percentage
yield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
avg_ssm,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
avg_tavg,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
avg_tmin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
avg_tmax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
avg_rad,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
avg_cwb,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
avg_ndvi,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
avg_fpar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
awc,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
bulk_density,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
drainage_class,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
latitude,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
harvest_year,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
crop_area_percentage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
