Feature,Mean_SHAP
crop_area_percentage,0.48882244601201147
latitude,0.20257569507745254
longitude,0.154726747604515
harvest_year,0.14817553139080997
sos,0.14716822382012312
harvest_area,0.1252789710551794
avg_ssm,0.05789345375376576
avg_fpar,0.05691994286327802
avg_tmin,0.03643069814687486
awc,0.03455443085780287
avg_rsm,0.02603842265277151
bulk_density,0.024414354113397915
region_area,0.01457744998144503
avg_ndvi,0.012178115095011861
eos,0.01155002851509783
avg_tmax,0.010047618363353663
avg_vpd,0.00964815525359407
avg_cwb,0.008763978427204675
avg_rad,0.008288283032251216
crop_area,0.006792805452682917
avg_tavg,0.0060780608320407
avg_et0,0.004377744114214665
drainage_class,0.0009985305462725204
