,yield
production,0.7487787601405517
crop_area_percentage,0.6982328673534967
harvest_area,0.6136387081834782
latitude,0.5309970277169985
avg_fpar,0.5280177084131714
crop_area,0.4505071782510852
drainage_class,0.3456909630531982
avg_ndvi,0.3405165705240818
sos,0.31278902484427157
harvest_year,0.20537980449479842
awc,0.049783440845779015
bulk_density,0.03359908328118473
avg_cwb,-0.09807713105622241
eos,-0.1069906023162949
region_area,-0.19828451932742747
avg_vpd,-0.21266990102649666
avg_et0,-0.2624861512910975
avg_rad,-0.3124991083095454
longitude,-0.370076650729436
avg_tmax,-0.39750955645763875
avg_ssm,-0.4072773661735304
avg_rsm,-0.46080995934148733
avg_tavg,-0.5047914028601459
avg_tmin,-0.5541283192790178
